geo_unit,X,Y
NEWTON BEWLEY,54.63290023803711,-1.281000018119812
NEWTON CAP,54.712799072265625,-1.7165000438690186
NORTH BEDBURN,54.69879913330078,-1.7558200359344482
NORTON,54.59590148925781,-1.3528499603271484
OFFERTON,54.8916015625,-1.48048996925354
OLD PARK,54.68280029296875,-1.6455999612808228
OUSTON,54.87879943847656,-1.5922499895095825
PELTON,54.871700286865234,-1.6088999509811401
PENSHAW,54.8755989074707,-1.4886000156402588
PIERCEBRIDGE,54.53799819946289,-1.6766999959945679
PITTINGTON,54.78990173339844,-1.5219999551773071
PLAWSWORTH,54.81769943237305,-1.594539999961853
POLLARDS LANDS,54.65719985961914,-1.66048002243042
PRESTON LE SKERNE,54.60940170288086,-1.5430899858474731
PRESTON UPON TEES,54.531700134277344,-1.3473000526428223
RABY WITH KEVERSTONE,54.588600158691406,-1.8132599592208862
REDMARSHALL,54.549400329589844,-1.3779900074005127
REDWORTH,54.604801177978516,-1.6288000345230103
RYHOPE,54.8734016418457,-1.368589997291565
RYTON,54.975399017333984,-1.7632999420166016
SADBERGE,54.54520034790039,-1.472599983215332
SATLEY,54.77799987792969,-1.852910041809082
SCHOOL AYCLIFFE,54.601600646972656,-1.6145299673080444
SEAHAM,54.83789825439453,-1.3645100593566895
SEATON,54.657901763916016,-1.2201600074768066
SEATON WITH SLINGLEY,54.84410095214844,-1.3738000392913818
SEDGEFIELD,54.65489959716797,-1.451200008392334
SHADFORTH,54.85430145263672,-1.573639988899231
SHERATON WITH HULAM,54.70759963989258,-1.3193000555038452
SHERBURN,54.799800872802734,-1.463670015335083
SHERBURN HOUSE,54.76490020751953,-1.4575999975204468
SHILDON,54.625701904296875,-1.6476000547409058
SHINCLIFFE,54.76430130004883,-1.5143100023269653
SHOTTON,54.76490020751953,-1.3111000061035156
SILKSWORTH,54.879398345947266,-1.4213500022888184
SOCKBURN,54.45949935913086,-1.4635000228881836
SOUTH BEDBURN,54.67409896850586,-1.8817299604415894
SOUTH BIDDICK,54.856201171875,-1.5080699920654297
SOUTH CORNSAY,54.747398376464844,-1.8150700330734253
SOUTH SHIELDS (PART OF),54.99810028076172,-1.4351999759674072
SOUTHWICK,54.92070007324219,-1.396399974822998
ST. OSWALDS,54.772701263427734,-1.5967999696731567
STAINDROP,54.58060073852539,-1.8016999959945679
STAINTON LE STREET,54.591800689697266,-1.4799000024795532
STANHOPE (PART OF),54.77980041503906,-2.0954999923706055
STANHOPE URBAN,54.74810028076172,-2.0051000118255615
STANLEY,54.86989974975586,-1.6971499919891357
STELLA,54.967498779296875,-1.7233999967575073
STILLINGTON,54.60449981689453,-1.4256000518798828
STOCKLEY,54.725799560546875,-1.691059947013855
STOCKTON ON TEES,54.557498931884766,-1.3151299953460693
STRANTON,54.70090103149414,-1.2267500162124634
STREATLAM AND STAINTON,54.57400131225586,-1.8717999458312988
SUMMERHOUSE,54.57270050048828,-1.6713600158691406
SUNDERLAND (PART OF),54.89649963378906,-1.4141000509262085
SUNDERLAND BRIDGE,54.72700119018555,-1.5930500030517578
TANFIELD,54.90650177001953,-1.7283999919891357
THORNLEY,54.752601623535156,-1.433899998664856
THORPE BULMER,54.715599060058594,-1.2880699634552002
THRISLINGTON,54.77539825439453,-1.7101600170135498
THROSTON,54.703800201416016,-1.2066199779510498
THROSTON RURAL,54.70090103149414,-1.2267500162124634
TOW LAW,54.750999450683594,-1.8212599754333496
TRIMDON,54.69940185546875,-1.4371299743652344
TUDHOE,54.701698303222656,-1.5886800289154053
TUNSTALL,54.871498107910156,-1.3996000289916992
URPETH,54.87820053100586,-1.659190058708191
USWORTH,54.91590118408203,-1.5555800199508667
WACKERFIELD,54.59749984741211,-1.763800024986267
WALDRIDGE,54.90510177612305,-1.3646999597549438
WALWORTH,54.57600021362305,-1.6394000053405762
WARDEN LAW,54.870601654052734,-1.4561500549316406
WEST AUCKLAND,54.63479995727539,-1.7360199689865112
WEST HARTLEPOOL,54.680599212646484,-1.2233999967575073
WEST HERRINGTON,54.8661003112793,-1.4816999435424805
WEST RAINTON,54.80860137939453,-1.5051000118255615
WESTERTON,54.68170166015625,-1.6303999423980713
WESTWICK,54.535499572753906,-1.8859599828720093
WHESSOE,54.572200775146484,-1.6131199598312378
WHICKHAM,54.952598571777344,-1.68149995803833
WHITBURN,54.875701904296875,-1.4053000211715698
WHITTON,54.60449981689453,-1.4256000518798828
WHITWELL HOUSE,54.763301849365234,-1.52646005153656
