geo_unit,X,Y
E02003086,332116.5737,159927.4086
E02006616,532336.8596,119502.2009
E02000773,544408.8603,187634.7526
E02002995,372166.6347,164497.7201
E02000004,551020.1697,186865.3459
E02006582,529645.1398,135944.9554
E02006682,382731.554,160870.139
E02000247,513183.8964,182911.1315
E02004821,439136.4881,140842.2611
E02006079,371121.8881,128394.4164
E02007075,442654.121,111028.9407
E02003058,360359.8369,169026.3605
E02004167,296463.2268,112910.5505
E02004807,485932.4898,155616.1449
E02004192,284798.6551,57714.8895
E02000389,523597.2499,177351.7957
E02000848,524135.5751,165038.7174
E02006333,511074.8403,160549.2719
E02006807,410725.6856,279965.4344
E02000496,505273.6413,190414.9382
E02006323,510138.3744,166428.9789
E02000589,525785.6558,178818.9647
E02006373,514385.5691,143453.3505
E02004154,293646.3024,93037.7627
E02004235,248155.8758,67322.8686
E02004245,408348.5305,108429.1065
E02000709,524240.5689,168037.3928
E02000551,512453.2503,172415.1845
E02000276,517466.3347,178855.8945
E02006453,501466.4255,136535.5921
E02004362,561930.5303,100253.6916
